Country1,Country2,year,score
Bulgaria,Turkey,2012,7
Bulgaria,Sweden,2012,8
Bulgaria,Albania,2012,4
Azerbaijan,Greece,2012,5
Azerbaijan,Lithuania,2012,4
Azerbaijan,Ireland,2012,1
Azerbaijan,Romania,2012,6
Azerbaijan,Russia,2012,10
Azerbaijan,Turkey,2012,12
Azerbaijan,Sweden,2012,7
Azerbaijan,Malta,2012,8
Azerbaijan,Ukraine,2012,3
Azerbaijan,Cyprus,2012,2
Norway,Serbia,2012,10
Norway,Denmark,2012,2
Norway,Italy,2012,4
Norway,Lithuania,2012,6
Norway,Iceland,2012,5
Norway,Russia,2012,8
Norway,Sweden,2012,12
Norway,Germany,2012,3
Norway,Ukraine,2012,1
Norway,Estonia,2012,7
UnitedKingdom,Spain,2012,8
UnitedKingdom,Sweden,2012,12
UnitedKingdom,Ireland,2012,10
UnitedKingdom,Azerbaijan,2012,2
UnitedKingdom,Russia,2012,3
UnitedKingdom,Malta,2012,5
UnitedKingdom,Turkey,2012,1
UnitedKingdom,Lithuania,2012,7
UnitedKingdom,Germany,2012,6
UnitedKingdom,Estonia,2012,4
Macedonia,Serbia,2012,10
Macedonia,Italy,2012,5
Macedonia,Ukraine,2012,3
Macedonia,Albania,2012,12
Macedonia,Russia,2012,4
Macedonia,Turkey,2012,8
Macedonia,Sweden,2012,6
Macedonia,Malta,2012,1
Macedonia,BosniaHerzegovina,2012,7
Macedonia,Azerbaijan,2012,2
Iceland,Serbia,2012,3
Iceland,Spain,2012,2
Iceland,Denmark,2012,5
Iceland,Ireland,2012,4
Iceland,Norway,2012,1
Iceland,Russia,2012,7
Iceland,France,2012,6
Iceland,Sweden,2012,12
Iceland,Cyprus,2012,8
Iceland,Estonia,2012,10
Israel,Greece,2012,2
Israel,Spain,2012,10
Israel,Cyprus,2012,3
Israel,Azerbaijan,2012,8
Israel,Romania,2012,6
Israel,Russia,2012,7
Israel,Turkey,2012,1
Israel,Sweden,2012,12
Israel,Italy,2012,4
Israel,Moldova,2012,5
Belgium,Serbia,2012,5
Belgium,Greece,2012,2
Belgium,Spain,2012,6
Belgium,Ireland,2012,4
Belgium,Albania,2012,10
Belgium,UnitedKingdom,2012,1
Belgium,Romania,2012,3
Belgium,Russia,2012,8
Belgium,Turkey,2012,7
Belgium,Sweden,2012,12
Germany,Serbia,2012,10
Germany,Italy,2012,2
Germany,Denmark,2012,5
Germany,Albania,2012,6
Germany,Iceland,2012,3
Germany,Greece,2012,1
Germany,Russia,2012,7
Germany,Turkey,2012,8
Germany,Sweden,2012,12
Germany,Estonia,2012,4
Croatia,Serbia,2012,12
Croatia,Italy,2012,2
Croatia,Ireland,2012,3
Croatia,Albania,2012,5
Croatia,Macedonia,2012,8
Croatia,Russia,2012,6
Croatia,Sweden,2012,7
Croatia,Germany,2012,4
Croatia,BosniaHerzegovina,2012,10
Croatia,Moldova,2012,1
Hungary,Serbia,2012,4
Hungary,Italy,2012,5
Hungary,Albania,2012,8
Hungary,Iceland,2012,6
Hungary,Macedonia,2012,2
Hungary,Russia,2012,7
Hungary,Turkey,2012,3
Hungary,Sweden,2012,12
Hungary,Germany,2012,10
Hungary,Spain,2012,1
Georgia,Italy,2012,4
Georgia,Ukraine,2012,6
Georgia,Azerbaijan,2012,10
Georgia,Sweden,2012,8
Georgia,Greece,2012,1
Georgia,Russia,2012,5
Georgia,Turkey,2012,7
Georgia,Lithuania,2012,12
Georgia,Germany,2012,2
Georgia,Albania,2012,3
Italy,Serbia,2012,6
Italy,Macedonia,2012,1
Italy,Denmark,2012,2
Italy,Albania,2012,12
Italy,Romania,2012,7
Italy,Russia,2012,10
Italy,Ukraine,2012,3
Italy,Germany,2012,8
Italy,Cyprus,2012,5
Italy,Moldova,2012,4
Spain,Italy,2012,1
Spain,Ukraine,2012,2
Spain,Iceland,2012,4
Spain,Romania,2012,10
Spain,Russia,2012,8
Spain,Sweden,2012,12
Spain,Germany,2012,3
Spain,Cyprus,2012,5
Spain,Moldova,2012,7
Spain,Estonia,2012,6
Latvia,Lithuania,2012,4
Latvia,Ukraine,2012,6
Latvia,Ireland,2012,5
Latvia,Albania,2012,1
Latvia,UnitedKingdom,2012,2
Latvia,Russia,2012,10
Latvia,France,2012,3
Latvia,Sweden,2012,12
Latvia,Germany,2012,7
Latvia,Estonia,2012,8
Greece,Serbia,2012,8
Greece,Italy,2012,3
Greece,Ukraine,2012,1
Greece,Albania,2012,10
Greece,Romania,2012,7
Greece,Russia,2012,4
Greece,Sweden,2012,6
Greece,Cyprus,2012,12
Greece,Moldova,2012,2
Greece,Azerbaijan,2012,5
Russia,Serbia,2012,4
Russia,Lithuania,2012,5
Russia,Romania,2012,1
Russia,Sweden,2012,12
Russia,Azerbaijan,2012,10
Russia,Greece,2012,3
Russia,Ukraine,2012,8
Russia,Cyprus,2012,2
Russia,Moldova,2012,7
Russia,Estonia,2012,6
France,Serbia,2012,8
France,Spain,2012,6
France,Lithuania,2012,3
France,Romania,2012,2
France,Russia,2012,4
France,Turkey,2012,5
France,Sweden,2012,12
France,Germany,2012,7
France,Italy,2012,1
France,Estonia,2012,10
Austria,Serbia,2012,10
Austria,Spain,2012,6
Austria,Albania,2012,8
Austria,Russia,2012,5
Austria,Turkey,2012,3
Austria,Sweden,2012,12
Austria,Germany,2012,4
Austria,France,2012,2
Austria,BosniaHerzegovina,2012,7
Austria,Moldova,2012,1
Malta,Serbia,2012,5
Malta,Lithuania,2012,4
Malta,Italy,2012,10
Malta,Sweden,2012,6
Malta,Azerbaijan,2012,12
Malta,Russia,2012,3
Malta,Turkey,2012,8
Malta,Ukraine,2012,7
Malta,Germany,2012,2
Malta,Albania,2012,1
Ukraine,Serbia,2012,2
Ukraine,Macedonia,2012,3
Ukraine,Italy,2012,4
Ukraine,Azerbaijan,2012,12
Ukraine,Greece,2012,5
Ukraine,Russia,2012,10
Ukraine,Sweden,2012,6
Ukraine,Malta,2012,7
Ukraine,Estonia,2012,1
Ukraine,Moldova,2012,8
BosniaHerzegovina,Serbia,2012,10
BosniaHerzegovina,Greece,2012,1
BosniaHerzegovina,Spain,2012,5
BosniaHerzegovina,Azerbaijan,2012,7
BosniaHerzegovina,Macedonia,2012,12
BosniaHerzegovina,Russia,2012,3
BosniaHerzegovina,Turkey,2012,4
BosniaHerzegovina,Sweden,2012,8
BosniaHerzegovina,France,2012,2
BosniaHerzegovina,Albania,2012,6
Lithuania,Hungary,2013,5
Lithuania,Georgia,2013,8
Lithuania,Belarus,2013,1
Lithuania,Azerbaijan,2013,12
Lithuania,Norway,2013,6
Lithuania,Russia,2013,7
Lithuania,Denmark,2013,2
Lithuania,Netherlands,2013,4
Lithuania,Ukraine,2013,10
Lithuania,Estonia,2013,3
Belgium,Italy,2013,6
Belgium,Ukraine,2013,8
Belgium,Azerbaijan,2013,5
Belgium,Norway,2013,7
Belgium,UnitedKingdom,2013,1
Belgium,Greece,2013,2
Belgium,Russia,2013,4
Belgium,Denmark,2013,10
Belgium,Netherlands,2013,12
Belgium,Moldova,2013,3
Bulgaria,Hungary,2013,6
Bulgaria,Sweden,2013,4
Bulgaria,Armenia,2013,8
Bulgaria,Azerbaijan,2013,12
Bulgaria,Norway,2013,1
Bulgaria,Greece,2013,7
Bulgaria,Russia,2013,5
Bulgaria,Denmark,2013,2
Bulgaria,Ukraine,2013,10
Bulgaria,Moldova,2013,3
Albania,Hungary,2013,8
Albania,Romania,2013,5
Albania,Italy,2013,12
Albania,Azerbaijan,2013,7
Albania,Norway,2013,2
Albania,Greece,2013,10
Albania,Netherlands,2013,4
Albania,Denmark,2013,1
Albania,Germany,2013,3
Albania,Spain,2013,6
Sweden,Hungary,2013,3
Sweden,Belgium,2013,7
Sweden,Ireland,2013,2
Sweden,UnitedKingdom,2013,1
Sweden,Norway,2013,12
Sweden,Russia,2013,5
Sweden,Romania,2013,4
Sweden,Iceland,2013,6
Sweden,Denmark,2013,10
Sweden,Netherlands,2013,8
Slovenia,Italy,2013,8
Slovenia,Belgium,2013,2
Slovenia,Azerbaijan,2013,3
Slovenia,Norway,2013,5
Slovenia,Russia,2013,10
Slovenia,UnitedKingdom,2013,1
Slovenia,Iceland,2013,4
Slovenia,Denmark,2013,12
Slovenia,Netherlands,2013,7
Slovenia,Sweden,2013,6
Netherlands,Hungary,2013,7
Netherlands,Belgium,2013,12
Netherlands,Azerbaijan,2013,2
Netherlands,Norway,2013,6
Netherlands,Sweden,2013,3
Netherlands,Greece,2013,1
Netherlands,Russia,2013,8
Netherlands,Denmark,2013,10
Netherlands,Malta,2013,8
Netherlands,Ukraine,2013,5
SanMarino,Hungary,2013,6
SanMarino,Italy,2013,4
SanMarino,Armenia,2013,1
SanMarino,Azerbaijan,2013,2
SanMarino,Norway,2013,7
SanMarino,Finland,2013,3
SanMarino,Greece,2013,12
SanMarino,France,2013,8
SanMarino,Belgium,2013,5
SanMarino,Malta,2013,10
Estonia,Hungary,2013,4
Estonia,Netherlands,2013,7
Estonia,Italy,2013,3
Estonia,Belgium,2013,2
Estonia,Sweden,2013,1
Estonia,Russia,2013,12
Estonia,Iceland,2013,6
Estonia,Denmark,2013,8
Estonia,Malta,2013,5
Estonia,Ukraine,2013,10
Spain,Italy,2013,12
Spain,Ukraine,2013,10
Spain,Azerbaijan,2013,7
Spain,Norway,2013,5
Spain,Russia,2013,6
Spain,UnitedKingdom,2013,4
Spain,Germany,2013,3
Spain,Denmark,2013,8
Spain,Malta,2013,1
Spain,Moldova,2013,2
Finland,Hungary,2013,10
Finland,Belgium,2013,3
Finland,Sweden,2013,4
Finland,Norway,2013,12
Finland,Russia,2013,2
Finland,Greece,2013,1
Finland,Iceland,2013,5
Finland,Denmark,2013,7
Finland,Netherlands,2013,8
Finland,Estonia,2013,6
Romania,Italy,2013,1
Romania,Ukraine,2013,4
Romania,Azerbaijan,2013,10
Romania,Norway,2013,8
Romania,UnitedKingdom,2013,3
Romania,Greece,2013,7
Romania,Netherlands,2013,2
Romania,Denmark,2013,6
Romania,Malta,2013,5
Romania,Moldova,2013,12
Ireland,Ukraine,2013,8
Ireland,Lithuania,2013,1
Ireland,Azerbaijan,2013,2
Ireland,Sweden,2013,5
Ireland,UnitedKingdom,2013,7
Ireland,Russia,2013,10
Ireland,Denmark,2013,12
Ireland,Netherlands,2013,6
Ireland,Belgium,2013,4
Ireland,Moldova,2013,3
Belarus,Denmark,2013,1
Belarus,Armenia,2013,2
Belarus,Azerbaijan,2013,10
Belarus,Norway,2013,3
Belarus,Greece,2013,6
Belarus,Russia,2013,8
Belarus,Lithuania,2013,5
Belarus,Malta,2013,7
Belarus,Ukraine,2013,12
Belarus,Moldova,2013,4
Cyprus,Italy,2013,6
Cyprus,Ukraine,2013,10
Cyprus,Ireland,2013,2
Cyprus,Azerbaijan,2013,8
Cyprus,Norway,2013,4
Cyprus,Greece,2013,12
Cyprus,Russia,2013,5
Cyprus,France,2013,1
Cyprus,Denmark,2013,7
Cyprus,Malta,2013,3
Moldova,Georgia,2013,3
Moldova,Belarus,2013,4
Moldova,Armenia,2013,1
Moldova,Azerbaijan,2013,8
Moldova,Norway,2013,2
Moldova,Sweden,2013,5
Moldova,Romania,2013,10
Moldova,Russia,2013,7
Moldova,Denmark,2013,6
Moldova,Ukraine,2013,12
Serbia,Hungary,2013,2
Serbia,Italy,2013,4
Serbia,Belgium,2013,3
Serbia,Azerbaijan,2013,5
Serbia,Norway,2013,7
Serbia,Sweden,2013,1
Serbia,Russia,2013,8
Serbia,Denmark,2013,12
Serbia,Ukraine,2013,10
Serbia,Moldova,2013,6
Montenegro,Georgia,2013,2
Montenegro,Italy,2013,6
Montenegro,Belarus,2013,3
Montenegro,Romania,2013,1
Montenegro,Azerbaijan,2013,12
Montenegro,Norway,2013,4
Montenegro,Greece,2013,8
Montenegro,Russia,2013,7
Montenegro,Denmark,2013,10
Montenegro,Moldova,2013,5
Armenia,Georgia,2013,10
Armenia,Italy,2013,1
Armenia,Belarus,2013,5
Armenia,Norway,2013,3
Armenia,Greece,2013,8
Armenia,Russia,2013,7
Armenia,France,2013,2
Armenia,Denmark,2013,4
Armenia,Malta,2013,6
Armenia,Ukraine,2013,12
Azerbaijan,Lithuania,2013,3
Azerbaijan,Romania,2013,6
Azerbaijan,Belarus,2013,7
Azerbaijan,Norway,2013,2
Azerbaijan,Georgia,2013,10
Azerbaijan,Greece,2013,4
Azerbaijan,Denmark,2013,5
Azerbaijan,Malta,2013,8
Azerbaijan,Ukraine,2013,12
Azerbaijan,Moldova,2013,1
Norway,Hungary,2013,2
Norway,Romania,2013,6
Norway,Belgium,2013,3
Norway,Sweden,2013,12
Norway,Greece,2013,5
Norway,Iceland,2013,4
Norway,Netherlands,2013,8
Norway,Denmark,2013,7
Norway,Malta,2013,10
Norway,Ukraine,2013,1
UnitedKingdom,Romania,2013,4
UnitedKingdom,Belgium,2013,3
UnitedKingdom,Ireland,2013,1
UnitedKingdom,Russia,2013,10
UnitedKingdom,Greece,2013,8
UnitedKingdom,Iceland,2013,2
UnitedKingdom,Netherlands,2013,6
UnitedKingdom,Denmark,2013,12
UnitedKingdom,Malta,2013,7
UnitedKingdom,Ukraine,2013,5
Macedonia,Netherlands,2013,2
Macedonia,Italy,2013,10
Macedonia,Belarus,2013,5
Macedonia,Norway,2013,8
Macedonia,Greece,2013,4
Macedonia,Russia,2013,6
Macedonia,France,2013,1
Macedonia,Denmark,2013,12
Macedonia,Malta,2013,3
Macedonia,Moldova,2013,7
Iceland,Netherlands,2013,8
Iceland,Sweden,2013,4
Iceland,Azerbaijan,2013,7
Iceland,Norway,2013,10
Iceland,Romania,2013,6
Iceland,Russia,2013,1
Iceland,France,2013,2
Iceland,Denmark,2013,12
Iceland,Malta,2013,5
Iceland,Ukraine,2013,3
Israel,Belarus,2013,3
Israel,Azerbaijan,2013,12
Israel,Norway,2013,6
Israel,Finland,2013,4
Israel,Greece,2013,2
Israel,Russia,2013,7
Israel,Denmark,2013,8
Israel,Germany,2013,5
Israel,Ukraine,2013,10
Israel,Moldova,2013,1
Denmark,Netherlands,2013,10
Denmark,Russia,2013,7
Denmark,Sweden,2013,8
Denmark,Norway,2013,12
Denmark,Finland,2013,2
Denmark,Greece,2013,6
Denmark,Iceland,2013,1
Denmark,Belgium,2013,5
Denmark,Malta,2013,4
Denmark,Ukraine,2013,3
Germany,Hungary,2013,12
Germany,Russia,2013,2
Germany,Azerbaijan,2013,4
Germany,Norway,2013,7
Germany,Finland,2013,1
Germany,Greece,2013,6
Germany,Iceland,2013,8
Germany,Denmark,2013,10
Germany,Malta,2013,5
Germany,Sweden,2013,3
Croatia,Hungary,2013,4
Croatia,Italy,2013,8
Croatia,Sweden,2013,1
Croatia,Azerbaijan,2013,7
Croatia,Norway,2013,3
Croatia,Greece,2013,5
Croatia,Russia,2013,6
Croatia,Denmark,2013,10
Croatia,Netherlands,2013,2
Croatia,Ukraine,2013,12
Hungary,Netherlands,2013,5
Hungary,Belgium,2013,4
Hungary,Armenia,2013,3
Hungary,Azerbaijan,2013,12
Hungary,Norway,2013,2
Hungary,Greece,2013,1
Hungary,Iceland,2013,6
Hungary,Denmark,2013,10
Hungary,Malta,2013,8
Hungary,Ukraine,2013,7
Georgia,Lithuania,2013,1
Georgia,Italy,2013,2
Georgia,Belarus,2013,5
Georgia,Armenia,2013,10
Georgia,Azerbaijan,2013,12
Georgia,Norway,2013,4
Georgia,Russia,2013,6
Georgia,Denmark,2013,7
Georgia,Malta,2013,3
Georgia,Ukraine,2013,8
Italy,Hungary,2013,3
Italy,Romania,2013,1
Italy,Spain,2013,2
Italy,Lithuania,2013,6
Italy,Norway,2013,8
Italy,Greece,2013,7
Italy,Denmark,2013,12
Italy,Malta,2013,10
Italy,Ukraine,2013,5
Italy,Moldova,2013,4
Switzerland,Hungary,2013,10
Switzerland,Netherlands,2013,4
Switzerland,Italy,2013,12
Switzerland,Azerbaijan,2013,6
Switzerland,Norway,2013,7
Switzerland,UnitedKingdom,2013,2
Switzerland,Greece,2013,8
Switzerland,Iceland,2013,5
Switzerland,Denmark,2013,3
Switzerland,Germany,2013,1
Greece,Hungary,2013,2
Greece,Georgia,2013,5
Greece,Italy,2013,6
Greece,Belarus,2013,1
Greece,Azerbaijan,2013,12
Greece,Norway,2013,4
Greece,Romania,2013,10
Greece,Denmark,2013,7
Greece,Malta,2013,3
Greece,Ukraine,2013,8
Russia,Georgia,2013,5
Russia,Belgium,2013,8
Russia,Armenia,2013,2
Russia,Azerbaijan,2013,12
Russia,Norway,2013,7
Russia,Greece,2013,10
Russia,Denmark,2013,4
Russia,Netherlands,2013,3
Russia,Ukraine,2013,1
Russia,Moldova,2013,6
France,Italy,2013,10
France,Belgium,2013,5
France,Armenia,2013,7
France,Azerbaijan,2013,8
France,Finland,2013,3
France,Romania,2013,1
France,Russia,2013,6
France,Denmark,2013,12
France,Malta,2013,2
France,Moldova,2013,4
Austria,Romania,2013,4
Austria,Italy,2013,10
Austria,Belgium,2013,3
Austria,Azerbaijan,2013,12
Austria,Greece,2013,7
Austria,Netherlands,2013,8
Austria,Denmark,2013,5
Austria,Germany,2013,6
Austria,Ukraine,2013,1
Austria,Moldova,2013,2
Malta,Romania,2013,7
Malta,Italy,2013,8
Malta,Belarus,2013,2
Malta,Armenia,2013,1
Malta,Azerbaijan,2013,12
Malta,Norway,2013,3
Malta,Greece,2013,4
Malta,UnitedKingdom,2013,5
Malta,Denmark,2013,6
Malta,Ukraine,2013,10
Ukraine,Georgia,2013,7
Ukraine,Belarus,2013,12
Ukraine,Armenia,2013,6
Ukraine,Azerbaijan,2013,10
Ukraine,Norway,2013,3
Ukraine,Russia,2013,4
Ukraine,Lithuania,2013,1
Ukraine,Denmark,2013,5
Ukraine,Malta,2013,2
Ukraine,Moldova,2013,8
Latvia,Belgium,2013,2
Latvia,Azerbaijan,2013,3
Latvia,Norway,2013,8
Latvia,Sweden,2013,4
Latvia,Greece,2013,1
Latvia,Russia,2013,12
Latvia,Denmark,2013,6
Latvia,Malta,2013,5
Latvia,Ukraine,2013,7
Latvia,Estonia,2013,10
Lithuania,Denmark,2014,1
Lithuania,Spain,2014,4
Lithuania,Ukraine,2014,5
Lithuania,Switzerland,2014,2
Lithuania,Norway,2014,8
Lithuania,Sweden,2014,7
Lithuania,Russia,2014,6
Lithuania,Austria,2014,10
Lithuania,Netherlands,2014,12
Lithuania,Belarus,2014,3
Belgium,Hungary,2014,7
Belgium,Spain,2014,2
Belgium,Ukraine,2014,4
Belgium,UnitedKingdom,2014,1
Belgium,Sweden,2014,10
Belgium,Finland,2014,3
Belgium,Romania,2014,5
Belgium,Denmark,2014,6
Belgium,Austria,2014,12
Belgium,Netherlands,2014,8
Albania,Hungary,2014,8
Albania,Malta,2014,1
Albania,Montenegro,2014,6
Albania,Sweden,2014,7
Albania,SanMarino,2014,3
Albania,Greece,2014,2
Albania,Spain,2014,12
Albania,Austria,2014,5
Albania,Germany,2014,4
Albania,Italy,2014,10
Sweden,Hungary,2014,7
Sweden,Denmark,2014,8
Sweden,Poland,2014,2
Sweden,Armenia,2014,5
Sweden,Norway,2014,3
Sweden,Finland,2014,6
Sweden,Iceland,2014,4
Sweden,France,2014,1
Sweden,Austria,2014,12
Sweden,Netherlands,2014,10
Slovenia,Hungary,2014,3
Slovenia,Denmark,2014,6
Slovenia,Montenegro,2014,7
Slovenia,Poland,2014,1
Slovenia,Norway,2014,5
Slovenia,Sweden,2014,8
Slovenia,Netherlands,2014,10
Slovenia,Austria,2014,12
Slovenia,Germany,2014,2
Slovenia,Spain,2014,4
Netherlands,Hungary,2014,4
Netherlands,Denmark,2014,1
Netherlands,Sweden,2014,8
Netherlands,Armenia,2014,7
Netherlands,Norway,2014,10
Netherlands,Finland,2014,2
Netherlands,Iceland,2014,4
Netherlands,Austria,2014,12
Netherlands,Malta,2014,5
Netherlands,Switzerland,2014,3
SanMarino,Hungary,2014,7
SanMarino,Netherlands,2014,2
SanMarino,Denmark,2014,1
SanMarino,Armenia,2014,6
SanMarino,Azerbaijan,2014,12
SanMarino,Finland,2014,3
SanMarino,UnitedKingdom,2014,5
SanMarino,Iceland,2014,8
SanMarino,Sweden,2014,10
SanMarino,Malta,2014,4
Estonia,Hungary,2014,7
Estonia,Spain,2014,2
Estonia,Ukraine,2014,8
Estonia,Armenia,2014,5
Estonia,Norway,2014,3
Estonia,Sweden,2014,10
Estonia,Russia,2014,1
Estonia,Finland,2014,6
Estonia,Austria,2014,4
Estonia,Netherlands,2014,12
Spain,Hungary,2014,2
Spain,Denmark,2014,3
Spain,Austria,2014,12
Spain,Armenia,2014,4
Spain,UnitedKingdom,2014,5
Spain,Sweden,2014,10
Spain,Romania,2014,8
Spain,Iceland,2014,1
Spain,Ukraine,2014,6
Spain,Netherlands,2014,7
Finland,Hungary,2014,5
Finland,Denmark,2014,6
Finland,Ukraine,2014,2
Finland,Armenia,2014,4
Finland,Norway,2014,7
Finland,Sweden,2014,10
Finland,Netherlands,2014,8
Finland,France,2014,1
Finland,Austria,2014,12
Finland,Malta,2014,3
Romania,Hungary,2014,10
Romania,Netherlands,2014,3
Romania,Spain,2014,5
Romania,Sweden,2014,12
Romania,Armenia,2014,7
Romania,Norway,2014,1
Romania,Switzerland,2014,6
Romania,Austria,2014,8
Romania,Germany,2014,2
Romania,Denmark,2014,4
Ireland,Hungary,2014,1
Ireland,Spain,2014,6
Ireland,Sweden,2014,4
